SUM|BRK|DTMIX|160.8900|$2,862.21|$1,669.35|-$1,192.86|
BRK|FRO|05/04/2020|04/23/2020|Sell|4,553.0000|$50,062.90|$40,611.86|-$9,451.04
BRK|GRIN|04/29/2020|04/23/2020|Sell|3,455.0000|$9,368.73|$8,568.21|-$800.52
BRK|GRIN|04/29/2020|04/23/2020|Sell|700.0000|$1,898.15|$1,707.96|-$190.19
BRK|GRIN|04/29/2020|04/23/2020|Sell|3,921.0000|$10,632.36|$9,413.85|-$1,218.51
BRK|GRIN|04/29/2020|04/23/2020|Sell|3,455.0000|$10,194.47|$8,295.05|-$1,899.42
BRK|GRIN|04/29/2020|04/23/2020|Sell|424.0000|$1,268.03|$1,017.97|-$250.06
BRK|GRIN|05/04/2020|04/23/2020|Sell|276.0000|$825.42|$618.23|-$207.19
BRK|GRIN|05/04/2020|04/23/2020|Sell|3,031.0000|$9,183.04|$6,789.29|-$2,393.75
BRK|MOMO|03/12/2020|03/09/2020|Sell|886.0000|$23,044.42|$21,333.05|-$1,711.37
BRK|MOMO|03/13/2020|03/06/2020|Sell|2,648.0000|$74,856.03|$59,635.10|-$15,220.93
BRK|MOMO|03/13/2020|03/06/2020|Sell|886.0000|$26,757.61|$19,953.44|-$6,804.17
BRK|MOMO|03/13/2020|03/09/2020|Sell|3,466.0000|$92,413.27|$78,057.13|-$14,356.14
BRK|MOMO|03/27/2020|03/09/2020|Sell|1,058.0000|$28,209.24|$23,539.98|-$4,669.26
BRK|MOMO|03/27/2020|03/09/2020|Sell|886.0000|$29,848.59|$19,713.06|-$10,135.53
BRK|MOMO|03/27/2020|03/09/2020|Sell|412.0000|$13,084.12|$9,166.80|-$3,917.32
BRK|MOMO|03/27/2020|03/09/2020|Sell|2,236.0000|$72,062.00|$49,749.90|-$22,312.10
BRK|MOMO|03/27/2020|03/09/2020|Sell|2,334.0000|$71,471.73|$51,930.35|-$19,541.38
BRK|MOMO|04/13/2020|04/07/2020|Sell|1,132.0000|$30,462.97|$24,705.36|-$5,757.61
BRK|MOMO|04/13/2020|04/07/2020|Sell|260.0000|$8,894.19|$5,674.37|-$3,219.82
BRK|MOMO|07/22/2020|06/16/2020|Sell|1,000.0000|$18,900.00|$18,004.60|-$895.40
BRK|MOMO|09/22/2020|06/16/2020|Sell|1,337.0000|$25,269.30|$18,947.51|-$6,321.79
BRK|MOMO|09/22/2020|06/18/2020|Sell|606.0000|$11,953.35|$8,588.03|-$3,365.32
BRK|MOMO|09/22/2020|06/22/2020|Sell|313.0000|$5,957.96|$4,435.73|-$1,522.23
BRK|MOMO|09/22/2020|06/22/2020|Sell|1,000.0000|$19,930.40|$14,171.66|-$5,758.74
BRK|MOMO|09/22/2020|06/25/2020|Sell|444.0000|$7,980.28|$6,292.22|-$1,688.06
