Month|Beginning balance|Deposits & withdrawals|Market gain/loss|Income returns|Personal investment returns|Cumulative returns|Ending balance
02/2020|$517,136.25|$0.00|-$32,047.75|$1.82|-$32,045.93|$209,090.32|$485,090.32
01/2020|$506,982.21|-$14,000.00|$24,129.44|$24.60|$24,154.04|$241,136.25|$517,136.25
12/2019|$490,268.64|$0.00|$16,712.53|$1.04|$16,713.57|$216,982.21|$506,982.21
11/2019|$444,428.16|$0.00|$45,788.63|$51.85|$45,840.48|$200,268.64|$490,268.64
10/2019|$374,455.02|$0.00|$69,903.86|$69.28|$69,973.14|$154,428.16|$444,428.16
09/2019|$395,543.88|$0.00|-$21,250.20|$161.34|-$21,088.86|$84,455.02|$374,455.02
08/2019|$392,879.07|$0.00|$2,631.44|$33.37|$2,664.81|$105,543.88|$395,543.88
07/2019|$335,852.35|$10,000.00|$47,021.94|$4.78|$47,026.72|$102,879.07|$392,879.07
06/2019|$148,892.38|$130,000.00|$56,771.76|$188.21|$56,959.97|$55,852.35|$335,852.35
05/2019|$0.00|$150,000.00|-$1,155.70|$48.08|-$1,107.62|-$1,107.62|$148,892.38
Total||$521,410.39|$9,128,945.74|$62,286.02|$9,191,231.76|||
