SUM|BRK|BB|4,807.0000|$64,991.43|$56,065.57|-$6,085.64|$2,840.22
SUM|BRK|BMBL|1,882.0000|$68,764.46|$67,174.77|-$1,589.69|
BRK|MGI|11/01/2021|05/03/2021|Sell|7,400.0000|$51,578.00|$43,659.78|-$7,918.22
BRK|MGI|11/01/2021|05/05/2021|Sell|516.0000|$3,570.72|$3,044.38|-$526.34
BRK|MGI|11/01/2021|05/06/2021|Sell|3,184.0000|$20,082.87|$18,785.51|-$1,297.36
BRK|MGI|11/01/2021|05/19/2021|Sell|12,350.0000|$89,515.30|$72,864.63|-$16,650.67
BRK|MGI|11/01/2021|07/20/2021|Sell|3,026.0000|$30,349.70|$17,853.31|-$12,496.39
BRK|MGI|11/01/2021|07/20/2021|Sell|887.0000|$8,832.66|$5,233.27|-$3,599.39
BRK|MGI|11/01/2021|10/28/2021|Sell|4,416.0000|$29,057.20|$26,054.27|-$3,002.93
BRK|MGI|11/01/2021|10/28/2021|Sell|124.0000|$1,054.37|$731.60|-$322.77
BRK|MGI|11/02/2021|05/19/2020|Sell|7,553.0000|$12,531.80|$43,051.86|$30,520.06
BRK|MGI|11/02/2021|05/27/2020|Sell|20,085.0000|$46,932.03|$114,483.86|$67,551.83
BRK|MGI|11/02/2021|06/02/2020|Sell|2,362.0000|$8,156.41|$13,463.33|$5,306.92
BRK|MGI|11/02/2021|06/02/2020|Sell|7,899.0000|$27,276.65|$43,457.71|$16,181.06
BRK|MGI|11/02/2021|06/03/2020|Sell|15,437.0000|$49,583.14|$84,929.31|$35,346.17
BRK|MGI|11/02/2021|06/03/2020|Sell|15,937.0000|$51,266.60|$87,680.15|$36,413.55
BRK|MGI|11/02/2021|06/04/2020|Sell|10,727.0000|$37,410.54|$59,016.43|$21,605.89
BRK|MGI|11/04/2021|06/04/2020|Sell|9,157.0000|$31,935.15|$48,074.00|$16,138.85
BRK|MGI|11/04/2021|06/04/2020|Sell|12,716.0000|$44,208.81|$66,758.66|$22,549.85
BRK|MGI|11/04/2021|06/04/2020|Sell|11,560.0000|$40,086.87|$60,689.69|$20,602.82
BRK|MGI|11/04/2021|06/05/2020|Sell|14,836.0000|$50,313.15|$77,888.60|$27,575.45
BRK|MGI|11/04/2021|06/12/2020|Sell|8,064.0000|$25,028.56|$42,335.79|$17,307.23
BRK|MGI|11/04/2021|08/19/2020|Sell|701.0000|$2,446.07|$3,680.23|$1,234.16
BRK|MGI|11/04/2021|08/19/2020|Sell|3,321.0000|$11,588.30|$17,390.57|$5,802.27
BRK|MGI|11/04/2021|08/19/2020|Sell|13,150.0000|$45,891.92|$68,860.59|$22,968.67
BRK|MGI|11/04/2021|08/28/2020|Sell|8,143.0000|$24,999.01|$42,641.20|$17,642.19
BRK|MGI|11/04/2021|08/28/2020|Sell|8,427.0000|$25,448.70|$44,128.38|$18,679.68
BRK|MGI|11/04/2021|09/09/2020|Sell|2,599.0000|$7,534.09|$13,609.79|$6,075.70
BRK|MGI|11/04/2021|09/21/2020|Sell|2,310.0000|$6,670.97|$12,096.42|$5,425.45
BRK|MGI|12/03/2021|09/21/2020|Sell|15,455.0000|$44,631.97|$99,855.07|$55,223.10
BRK|MGI|12/03/2021|11/15/2021|Sell|6,119.0000|$42,745.24|$37,660.56|-$5,084.68
BRK|MGI|12/03/2021|11/15/2021|Sell|5,509.0000|$38,444.48|$33,906.19|-$4,538.29
BRK|MGI|12/03/2021|11/15/2021|Sell|4,940.0000|$35,697.68|$29,788.42|-$5,909.26
BRK|MGI|12/03/2021|11/15/2021|Sell|7,400.0000|$55,574.22|$44,622.33|-$10,951.89
BRK|MGI|12/03/2021|11/15/2021|Sell|516.0000|$3,849.38|$3,111.50|-$737.88
BRK|MGI|12/03/2021|11/15/2021|Sell|12,350.0000|$96,184.67|$74,471.05|-$21,713.62
BRK|MGI|12/03/2021|11/15/2021|Sell|3,026.0000|$31,983.83|$18,246.92|-$13,736.91
BRK|MGI|12/03/2021|11/15/2021|Sell|887.0000|$9,311.67|$5,348.65|-$3,963.02
BRK|MGI|12/03/2021|11/15/2021|Sell|124.0000|$1,121.33|$747.73|-$373.60
BRK|MGI|12/03/2021|11/15/2021|Sell|3,869.0000|$27,547.32|$23,330.24|-$4,217.08
BRK|MGI|12/03/2021|11/15/2021|Sell|547.0000|$3,894.65|$3,366.62|-$528.03
BRK|MGI|12/06/2021|09/21/2020|Sell|14,367.0000|$41,489.98|$99,868.67|$58,378.69
BRK|MGI|12/06/2021|09/21/2020|Sell|4,795.0000|$13,847.32|$33,106.48|$19,259.16
BRK|MGI|12/06/2021|09/21/2020|Sell|9,655.0000|$28,192.57|$66,661.73|$38,469.16
