SUM|BRK|ABCL|188,394.0000|$931,529.97|$918,646.82|-$4,611.89|$8,271.26
BRK|AGL|11/06/2025|10/23/2025|Sell|10,000.0000|$11,615.14|$7,037.50|-$4,577.64
BRK|AGL|11/06/2025|10/23/2025|Sell|10,000.0000|$11,373.76|$7,037.50|-$4,336.26
BRK|AGL|11/06/2025|10/23/2025|Sell|5,000.0000|$5,723.53|$3,518.75|-$2,204.78
BRK|AGL|11/06/2025|10/23/2025|Sell|25,000.0000|$28,868.37|$17,593.75|-$11,274.62
BRK|AGL|11/06/2025|11/03/2025|Sell|20,000.0000|$18,553.63|$14,075.00|-$4,478.63
BRK|AGL|11/06/2025|11/03/2025|Sell|30,000.0000|$26,121.11|$21,112.50|-$5,008.61
BRK|AGL|11/06/2025|11/03/2025|Sell|46,500.0000|$41,898.82|$32,724.38|-$9,174.44
BRK|AGL|11/06/2025|11/04/2025|Sell|23,500.0000|$20,386.51|$16,538.13|-$3,848.38
BRK|AGL|11/07/2025|11/04/2025|Sell|61,538.0000|$47,972.70|$40,344.33|-$7,628.37
BRK|AGL|11/07/2025|11/04/2025|Sell|30,000.0000|$37,073.91|$19,644.19|-$17,429.72
BRK|AGL|11/07/2025|11/04/2025|Sell|10,000.0000|$12,372.57|$6,548.06|-$5,824.51
BRK|AGL|11/07/2025|11/04/2025|Sell|4,032.0000|$4,891.30|$2,640.18|-$2,251.12
BRK|AGL|11/07/2025|11/04/2025|Sell|5,968.0000|$7,240.31|$3,907.89|-$3,332.42
BRK|AGL|11/07/2025|11/04/2025|Sell|5,000.0000|$6,102.59|$3,274.03|-$2,828.56
BRK|AGL|11/07/2025|11/04/2025|Sell|25,000.0000|$30,763.67|$16,370.16|-$14,393.51
BRK|AGL|11/07/2025|11/04/2025|Sell|20,000.0000|$20,069.87|$13,096.13|-$6,973.74
BRK|AGL|11/07/2025|11/04/2025|Sell|30,000.0000|$28,395.47|$19,644.20|-$8,751.27
BRK|AGL|11/07/2025|11/04/2025|Sell|21,515.0000|$21,017.18|$14,088.16|-$6,929.02
