SUM|BRK|ABCL|222,347.0000|$910,556.47|$845,856.98|-$37,597.33|$27,102.16
BRK|AGL|04/30/2026|04/02/2026|Sell|4,500.0000|$46,569.59|$119,279.12|$72,709.53
BRK|AGL|04/30/2026|04/02/2026|Sell|2,492.0000|$25,789.21|$66,111.40|$40,322.19
BRK|AGL|04/30/2026|04/06/2026|Sell|2,508.0000|$35,011.68|$66,535.87|$31,524.19
BRK|AGL|05/04/2026|04/06/2026|Sell|4,492.0000|$62,708.32|$118,589.96|$55,881.64
BRK|AGL|05/07/2026|05/07/2026|Sell|5,300.0000|$327,271.25|$320,794.17|-$6,477.08
BRK|AGL|05/08/2026|05/07/2026|Sell|5,300.0000|$327,271.24|$281,795.19|-$45,476.05
BRK|ASPI|01/20/2026|01/14/2026|Sell|13,586.0000|$100,796.13|$99,857.10|-$939.03
BRK|ASPI|01/21/2026|01/14/2026|Sell|10,738.0000|$79,666.48|$82,268.98|$2,602.50
BRK|ASPI|03/26/2026|03/24/2026|Sell|70,000.0000|$365,734.41|$326,404.18|-$39,330.23
BRK|ASPI|03/26/2026|03/24/2026|Sell|24,000.0000|$136,362.59|$111,600.00|-$24,762.59
BRK|ASPI|03/26/2026|03/24/2026|Sell|16,000.0000|$90,908.39|$74,440.65|-$16,467.74
BRK|ASPI|03/26/2026|03/24/2026|Sell|1,841.0000|$11,371.50|$8,565.33|-$2,806.17
BRK|ASPI|03/26/2026|03/24/2026|Sell|22,159.0000|$138,638.93|$103,095.66|-$35,543.27
BRK|ASPI|04/01/2026|03/24/2026|Sell|30,000.0000|$170,453.24|$127,200.38|-$43,252.86
BRK|ASPI|04/01/2026|03/24/2026|Sell|1,841.0000|$12,231.93|$7,805.86|-$4,426.07
BRK|ASPI|04/01/2026|03/24/2026|Sell|3,159.0000|$21,240.88|$13,394.20|-$7,846.68
BRK|ASPI|04/01/2026|03/24/2026|Sell|6,000.0000|$37,524.06|$25,440.07|-$12,083.99
BRK|ASPI|04/01/2026|03/25/2026|Sell|9,834.0000|$50,631.01|$41,696.28|-$8,934.73
BRK|ASPI|04/01/2026|03/25/2026|Sell|10,000.0000|$61,778.01|$42,400.13|-$19,377.88
BRK|ASPI|04/01/2026|03/25/2026|Sell|19,000.0000|$128,298.99|$80,560.24|-$47,738.75
BRK|ASPI|05/04/2026|05/01/2026|Sell|1,841.0000|$13,959.23|$9,485.50|-$4,473.73
BRK|ASPI|05/04/2026|05/01/2026|Sell|3,159.0000|$24,204.78|$16,276.31|-$7,928.47
BRK|ASPI|05/04/2026|05/01/2026|Sell|7,616.0000|$50,418.02|$39,240.39|-$11,177.63
BRK|ASPI|05/04/2026|05/01/2026|Sell|4,449.0000|$23,177.04|$22,757.03|-$420.01
BRK|ASPI|05/04/2026|05/01/2026|Sell|2,384.0000|$15,856.59|$12,283.23|-$3,573.36
BRK|ASPI|05/04/2026|05/01/2026|Sell|20,000.0000|$133,025.13|$102,301.77|-$30,723.36
BRK|ASPI|05/04/2026|05/01/2026|Sell|6,000.0000|$43,340.96|$30,914.18|-$12,426.78
BRK|ASPI|05/04/2026|05/01/2026|Sell|19,000.0000|$146,719.14|$97,894.89|-$48,824.25
BRK|ASPI|05/04/2026|05/01/2026|Sell|10,000.0000|$71,472.83|$51,523.63|-$19,949.20
BRK|ASPI|05/04/2026|05/01/2026|Sell|9,834.0000|$60,164.90|$50,301.78|-$9,863.12
BRK|ASPI|05/04/2026|05/01/2026|Sell|1,841.0000|$14,064.41|$9,416.88|-$4,647.53
BRK|ASPI|05/04/2026|05/01/2026|Sell|3,159.0000|$24,385.26|$16,158.56|-$8,226.70
BRK|ASPI|05/04/2026|05/01/2026|Sell|7,616.0000|$50,853.14|$38,956.51|-$11,896.63
BRK|ASPI|05/13/2026|05/11/2026|Sell|7,874.0000|$70,389.01|$50,157.92|-$20,231.09
BRK|ASPI|07/07/2026|06/30/2026|Sell|31,152.0000|$200,058.44|$161,293.76|-$38,764.68
BRK|ASPI|07/07/2026|07/02/2026|Sell|8,000.0000|$50,149.24|$41,421.10|-$8,728.14
BRK|ASPI|07/13/2026|07/02/2026|Sell|8,848.0000|$55,465.06|$41,444.71|-$14,020.35
BRK|ASPI|07/13/2026|07/02/2026|Sell|31,152.0000|$234,045.82|$145,918.34|-$88,127.48
BRK|ASPI|07/21/2026|07/16/2026|Sell|8,000.0000|$41,078.46|$34,503.28|-$6,575.18
BRK|ASPI|07/21/2026|07/16/2026|Sell|17,000.0000|$116,836.59|$73,319.46|-$43,517.13
BRK|BTDR|05/18/2026|05/15/2026|Sell|13,559.0000|$195,249.60|$171,693.02|-$23,556.58
BRK|DARE|04/20/2026|04/17/2026|Sell|725.0000|$2,392.50|$2,066.21|-$326.29
BRK|DARE|04/20/2026|04/17/2026|Sell|72,804.0000|$240,253.20|$197,321.79|-$42,931.41
BRK|DARE|04/20/2026|04/17/2026|Sell|91,186.0000|$300,913.80|$247,142.81|-$53,770.99
BRK|DARE|04/20/2026|04/17/2026|Sell|725.0000|$2,718.79|$1,964.98|-$753.81
BRK|DUOL|05/05/2026|04/30/2026|Sell|4,760.0000|$499,663.52|$485,045.63|-$14,617.89
BRK|DUOL|05/05/2026|05/01/2026|Sell|5,240.0000|$587,593.05|$533,957.80|-$53,635.25
BRK|DUOL|05/05/2026|05/01/2026|Sell|3,398.0000|$381,038.40|$346,266.16|-$34,772.24
BRK|DUOL|05/05/2026|05/01/2026|Sell|4,760.0000|$548,385.62|$485,057.96|-$63,327.66
BRK|DUOL|05/05/2026|05/01/2026|Sell|543.0000|$66,532.28|$55,333.29|-$11,198.99
BRK|GOOG|01/13/2026|01/13/2026|Sell|1,000.0000|$339,540.00|$336,829.02|-$2,710.98
BRK|GOOG|01/26/2026|01/13/2026|Sell|354.0000|$120,197.16|$116,596.98|-$3,600.18
BRK|GOOG|01/26/2026|01/13/2026|Sell|333.0000|$113,066.82|$109,811.75|-$3,255.07
BRK|GOOG|02/05/2026|01/13/2026|Sell|667.0000|$226,473.18|$220,470.18|-$6,003.00
BRK|GOOG|02/17/2026|02/12/2026|Sell|397.0000|$125,928.79|$118,875.49|-$7,053.30
BRK|GOOG|02/17/2026|02/12/2026|Sell|271.0000|$87,982.86|$81,146.75|-$6,836.11
BRK|GOOG|03/05/2026|02/12/2026|Sell|603.0000|$191,272.19|$181,671.84|-$9,600.35
BRK|GRAB|02/17/2026|02/12/2026|Sell|35,000.0000|$150,147.75|$144,376.28|-$5,771.47
BRK|HIMS|05/06/2026|04/30/2026|Sell|11,380.0000|$300,178.78|$298,395.45|-$1,783.33
BRK|HIMS|05/13/2026|05/11/2026|Sell|6,500.0000|$197,448.60|$156,647.42|-$40,801.18
BRK|HIVE|06/11/2026|05/26/2026|Sell|37,281.0000|$157,347.20|$130,484.54|-$26,862.66
BRK|HIVE|06/22/2026|05/26/2026|Sell|10,000.0000|$42,205.74|$44,799.08|$2,593.34
BRK|IMMX|01/12/2026|08/28/2025|Sell|12,500.0000|$26,353.36|$56,323.38|$29,970.02
BRK|IMMX|01/12/2026|10/16/2025|Sell|62,500.0000|$170,486.96|$281,616.88|$111,129.92
BRK|IMMX|01/12/2026|10/22/2025|Sell|11,968.0000|$38,709.71|$54,693.76|$15,984.05
BRK|IMMX|01/12/2026|10/23/2025|Sell|10,000.0000|$31,409.50|$44,501.07|$13,091.57
BRK|IMMX|01/12/2026|10/23/2025|Sell|2,306.0000|$7,148.60|$10,261.95|$3,113.35
BRK|IMMX|01/12/2026|10/23/2025|Sell|9,433.0000|$29,680.10|$43,108.81|$13,428.71
BRK|IMMX|01/12/2026|10/23/2025|Sell|5,785.0000|$18,201.99|$26,379.60|$8,177.61
BRK|IMMX|01/12/2026|10/23/2025|Sell|39,782.0000|$125,170.55|$177,034.14|$51,863.59
BRK|IMMX|01/12/2026|11/05/2025|Sell|12,694.0000|$39,351.40|$56,489.65|$17,138.25
BRK|IMMX|01/12/2026|11/06/2025|Sell|9,728.0000|$29,765.73|$43,290.64|$13,524.91
