SUM|BRK|BB|22,371.0000|$150,109.41|$138,613.36|-$11,496.05|
SUM|BRK|CVNA|17,123.0000|$425,414.29|$430,089.75|+$4,675.46|
BRK|META|06/17/2022|03/15/2022|Sell|313.0000|$58,356.72|$51,115.04|-$7,241.68
BRK|META|06/17/2022|03/15/2022|Sell|957.0000|$178,426.14|$157,116.66|-$21,309.48
BRK|META|06/17/2022|03/16/2022|Sell|43.0000|$8,464.95|$7,059.58|-$1,405.37
BRK|META|06/21/2022|03/16/2022|Sell|263.0000|$51,774.03|$43,685.93|-$8,088.10
BRK|META|06/21/2022|03/16/2022|Sell|737.0000|$147,497.69|$122,420.27|-$25,077.42
BRK|META|06/21/2022|03/16/2022|Sell|119.0000|$23,815.77|$18,724.22|-$5,091.55
BRK|META|06/21/2022|03/17/2022|Sell|153.0000|$31,555.18|$24,074.00|-$7,481.18
BRK|META|06/21/2022|06/08/2022|Sell|400.0000|$89,890.19|$62,938.56|-$26,951.63
BRK|META|06/21/2022|06/08/2022|Sell|128.0000|$28,737.89|$20,140.34|-$8,597.55
BRK|META|06/22/2022|06/08/2022|Sell|367.0000|$82,396.93|$58,190.19|-$24,206.74
BRK|META|06/22/2022|06/08/2022|Sell|367.0000|$82,524.68|$58,190.19|-$24,334.49
BRK|META|06/22/2022|06/10/2022|Sell|66.0000|$13,850.42|$10,464.72|-$3,385.70
BRK|META|06/22/2022|06/10/2022|Sell|273.0000|$57,290.38|$43,268.15|-$14,022.23
BRK|META|06/22/2022|06/10/2022|Sell|636.0000|$134,332.32|$100,800.51|-$33,531.81
BRK|PYPL|05/20/2022|03/08/2022|Sell|800.0000|$78,715.75|$62,714.56|-$16,001.19
BRK|PYPL|05/20/2022|03/08/2022|Sell|500.0000|$49,197.34|$39,141.85|-$10,055.49
BRK|PYPL|06/13/2022|03/08/2022|Sell|1,246.0000|$122,599.77|$94,855.81|-$27,743.96
BRK|RAD|02/28/2022|02/24/2022|Sell|3,480.0000|$30,047.87|$31,911.44|$1,863.57
BRK|RAD|02/28/2022|02/24/2022|Sell|13,520.0000|$116,912.56|$123,977.76|$7,065.20
BRK|RAD|03/08/2022|02/24/2022|Sell|6,201.0000|$53,622.39|$57,640.50|$4,018.11
BRK|SE|03/15/2022|03/10/2022|Sell|1,150.0000|$106,582.00|$104,706.97|-$1,875.03
BRK|SE|03/16/2022|03/10/2022|Sell|137.0000|$12,697.16|$14,610.14|$1,912.98
BRK|SE|03/16/2022|03/10/2022|Sell|425.0000|$39,750.17|$45,323.42|$5,573.25
BRK|SE|05/19/2022|03/10/2022|Sell|330.0000|$30,864.84|$24,419.44|-$6,445.40
BRK|SE|05/20/2022|03/10/2022|Sell|330.0000|$30,864.84|$25,190.76|-$5,674.08
BRK|TCS|01/20/2022|01/03/2022|Sell|3,257.0000|$36,002.60|$34,475.78|-$1,526.82
BRK|TCS|01/20/2022|01/03/2022|Sell|621.0000|$6,921.43|$6,573.37|-$348.06
BRK|TCS|01/27/2022|01/03/2022|Sell|4,767.0000|$53,131.14|$48,289.47|-$4,841.67
BRK|TCS|01/27/2022|01/03/2022|Sell|3,257.0000|$37,828.09|$32,993.24|-$4,834.85
BRK|TCS|01/28/2022|01/03/2022|Sell|4,601.0000|$51,280.97|$44,721.49|-$6,559.48
BRK|TCS|01/31/2022|01/03/2022|Sell|261.0000|$2,909.01|$2,542.13|-$366.88
BRK|TCS|01/31/2022|01/03/2022|Sell|234.0000|$2,752.33|$2,279.15|-$473.18
BRK|TCS|01/31/2022|01/03/2022|Sell|3,257.0000|$41,318.47|$31,723.02|-$9,595.45
BRK|TCS|01/31/2022|01/03/2022|Sell|3,274.0000|$39,999.33|$31,888.59|-$8,110.74
BRK|TCS|02/02/2022|01/03/2022|Sell|387.0000|$4,551.93|$3,912.55|-$639.38
BRK|TCS|02/02/2022|01/05/2022|Sell|1,899.0000|$23,952.90|$19,198.79|-$4,754.11
BRK|TCS|02/02/2022|01/05/2022|Sell|1,100.0000|$13,874.77|$10,911.94|-$2,962.83
BRK|TCS|02/02/2022|01/05/2022|Sell|169.0000|$2,128.29|$1,708.58|-$419.71
BRK|TCS|03/15/2022|01/05/2022|Sell|1,493.0000|$18,219.72|$11,869.59|-$6,350.13
BRK|TCS|03/15/2022|01/05/2022|Sell|1,253.0000|$15,804.63|$9,997.01|-$5,807.62
BRK|TCS|03/15/2022|01/05/2022|Sell|349.0000|$4,402.09|$2,774.61|-$1,627.48
